Note: Component loadings for Components 1 and 2 after varimax rotation,,
Gene,Component 1,Component 2
GDA,0.563,-0.747
SCN3A,0.381,-0.565
SCN3B,0.725,-0.625
GFER,0.228,-0.107
RPLP2,-0.024,-0.609
PIP5KL1,-0.571,0.389
RPLP1,-0.176,-0.164
BTBD3,-0.893,-0.101
ACAA2,0.125,-0.749
TMEFF2,0.405,-0.813
TMEFF1,0.527,0.124
TFPT,0.232,-0.791
SCN2B,-0.472,0.026
UGCG,-0.268,0.284
SCN2A,0.05,-0.514
GEM,0.133,-0.441
BTBD9,0.199,-0.603
HSD11B1,-0.847,0.07
HSD11B2,-0.391,-0.053
SCN1A,-0.688,0.673
RALGPS2,0.286,-0.724
SCN1B,-0.598,0.72
ACACA,0.575,-0.118
PPAPDC1B,-0.534,-0.761
PPAPDC1A,0.394,-0.743
GGN,0.715,-0.245
GNGT2,-0.591,0.436
LOC441666,-0.263,-0.641
PARP8,0.135,-0.624
PP13,-0.035,0.661
PARP3,-0.723,-0.075
POP4,-0.15,-0.842
PARP2,-0.757,-0.468
POP7,-0.444,-0.447
GFAP,0.097,-0.571
BCKDK,0.5,-0.546
GHR,0.511,-0.692
PARVG,0.122,-0.663
AIFM3,-0.731,0.095
AIFM2,0.565,-0.284
ANP32E,-0.366,-0.802
FLJ10038,-0.849,0.029
SLC3A2,-0.153,-0.724
RHOXF2B,-0.219,0.503
DUXAP10,0.015,-0.085
BRWD3,-0.76,0.37
PARVB,0.36,-0.509
PARVA,0.267,-0.531
SCML4,0.793,0.216
ECEL1,0.376,-0.545
LOC401321,-0.304,0.343
DOM3Z,-0.762,-0.076
PARS2,-0.366,-0.25
DHCR7,-0.259,-0.791
GLA,-0.677,-0.298
QRFPR,-0.586,0.58
SPATA20,-0.182,-0.854
NR2E1,0.608,-0.477
NLRC4,0.514,-0.539
NUDCD3,-0.14,0.257
GALR1,-0.345,0.811
ATG5,-0.648,-0.401
ATG7,0.102,-0.447
SPATA22,0.04,0.654
B3GNTL1,0.245,-0.594
SPATA18,0.248,-0.747
LOC728716,0.406,-0.412
SPATA17,-0.27,-0.293
ARHGDIG,0.536,-0.543
TFEB,-0.491,0.169
ST8SIA1,-0.844,0.394
EPM2AIP1,-0.884,-0.115
NR2C1,-0.632,0.592
TFEC,0.292,-0.662
SCN9A,0.564,-0.641
ARHGDIA,0.857,-0.267
ARHGDIB,-0.247,-0.758
MEA1,0.127,-0.835
HDAC5,-0.262,0.029
HDAC4,-0.647,0.395
ATF4,-0.923,-0.147
HDAC1,-0.502,-0.205
ST8SIA6,-0.003,0.446
ST8SIA4,0.203,0.484
RGAG1,0.406,-0.088
ST8SIA5,-0.11,0.716
RGAG4,-0.565,-0.416
SCN8A,-0.205,0.803
HDAC9,0.255,-0.143
HDAC8,-0.729,0.222
HDAC7,-0.657,0.122
HINT3,0.11,-0.255
ATL1,0.531,-0.076
HINT1,0.22,-0.7
HINT2,0.122,-0.738
OR1N2,0.44,0.54
SCN7A,0.624,-0.177
IMPDH1,-0.517,-0.094
ACADS,0.509,-0.528
ACADL,0.303,-0.723
GAL,0.285,-0.176
NEXN,-0.696,0.497
GAA,-0.743,-0.581
UGP2,-0.73,-0.099
TFAM,-0.801,0.174
DCLK3,-0.147,-0.234
DCLK2,-0.177,-0.941
SCN5A,0.15,0.504
DCLK1,-0.691,0.411
GBA,-0.101,-0.883
AC011498.3,-0.364,-0.335
AC011498.2,0.67,-0.335
RNF5P1,-0.355,-0.853
SCN4B,-0.767,0.327
LOC729461,0.562,0.316
RNF113A,-0.899,0.126
RAB3GAP2,-0.83,0.148
RAB3GAP1,-0.159,-0.638
NELL1,-0.045,0.129
AC005551.1,0.241,-0.253
NELL2,0.265,-0.617
FST,0.659,-0.151
PPCS,0.102,-0.771
NELF,-0.147,-0.75
WWP1,-0.727,-0.054
FTL,0.016,-0.847
SGPL1,-0.27,-0.143
C5AR1,0.294,-0.552
FRY,-0.439,0.106
OR2D2,-0.129,0.493
NEK6,0.436,-0.68
MDH1,-0.744,0.357
NEK2,0.747,-0.406
ACAT2,-0.13,-0.676
PPAT,-0.001,-0.692
NR1H2,-0.725,-0.082
RP11-63L7.1,-0.053,-0.892
MAML3,0.043,0.706
TYROBP,0.54,-0.437
NR1H3,0.256,-0.747
MAML1,-0.885,-0.011
TM2D3,-0.038,-0.784
SUPT16H,-0.84,0.104
ZFHX2,-0.433,0.164
EID2B,-0.163,-0.6
OR10A2,0.081,-0.11
NUDT9P1,-0.415,-0.328
WASH2P,-0.744,-0.106
STEAP2,-0.754,0.036
STEAP1,-0.102,-0.388
PARD3,0.527,-0.319
LOC728734,-0.42,0.583
NR1D1,-0.804,0.219
NR1D2,-0.949,0.073
MDC1,-0.674,-0.332
IL10RA,-0.031,-0.602
NENF,0.373,-0.344
FYB,0.355,-0.693
LOC728743,-0.253,0.632
TEX9,0.466,-0.133
BLVRA,-0.587,-0.083
FYN,-0.021,-0.436
BLVRB,0.677,-0.451
ATP5A1,-0.548,0.298
WASH3P,-0.782,0.361
LOC728739,0.24,-0.653
APOBEC3G,0.565,-0.26
APOBEC3F,0.262,-0.487
TTC21A,-0.686,-0.384
LSAMP,-0.08,-0.388
PYGO1,0.422,0.323
PYGO2,0.364,-0.147
TAGAP,0.361,-0.405
GFM1,-0.681,0.414
TESC,-0.594,0.272
SPTBN5,-0.642,-0.009
TTC21B,-0.732,0.587
NTPCR,0.317,-0.028
SPTBN4,-0.389,0.612
TET1,-0.236,0.482
PLEKHA4,-0.073,-0.621
PPIE,-0.731,-0.446
TET3,-0.54,0.58
PLEKHA6,-0.738,0.222
PPIG,-0.886,-0.3
PLEKHA5,-0.862,-0.129
PPIB,0.362,-0.678
PLEKHA7,0.041,-0.305
PPIC,-0.114,0.082
PLEKHA9,0.227,0.296
ANTXR2,-0.627,0.396
PHPT1,0.47,-0.823
PLEKHA1,-0.862,0.001
SGPP2,0.179,-0.531
PLEKHB1,-0.31,-0.632
LOC392288,0.344,0.531
ACOT12,0.428,-0.459
ACOT13,-0.26,-0.537
TTC23L,0.673,0.14
CAMK1G,-0.128,-0.708
RALBP1,-0.349,-0.455
PLEKHC1,0.792,-0.349
ZMIZ2,-0.332,-0.25
CAMK1D,-0.826,-0.085
FRK,-0.112,0.269
CAMK2G,-0.859,0.335
CAMK2D,0.533,-0.612
TEPP,0.857,-0.258
HINFP,-0.616,-0.567
LOC100133299,-0.579,0.107
NEFH,-0.597,0.395
CAMK2B,-0.488,0.535
PPAP2A,-0.853,-0.319
PPAP2B,0.486,-0.588
CAMK2A,0.03,0.204
NEFL,-0.539,0.108
NEFM,-0.505,0.374
PPWD1,-0.865,-0.074
PARK2,0.409,-0.494
ATXN2,-0.782,-0.169
BMPR1B,0.495,-0.447
RPL18,-0.512,-0.47
DND1P2,-0.466,0.45
DND1P1,-0.734,-0.302
RPL13,0.241,-0.313
ACBD7,0.408,-0.459
MALL,0.492,0.111
RPL12,0.168,-0.79
PTPRJ,0.422,-0.004
OPA3,-0.247,0.168
PTPRK,-0.192,0.146
OPA1,-0.285,-0.252
PTPRM,-0.514,-0.391
PTPRF,0.19,-0.912
FAM108C1,0.212,-0.371
PTPRG,0.258,-0.794
PTPRH,-0.507,0.284
PTPRR,0.428,-0.635
PTPRU,0.353,-0.029
PTPRO,0.234,-0.663
PTPRQ,0.487,0.101
OR10K1,-0.473,0.07
SDHAF2,-0.848,-0.307
PVRL1,0.523,-0.103
PVRL3,0.167,-0.315
PVRL2,0.644,-0.332
RANBP17,-0.362,0.618
MAOA,0.367,-0.566
MAOB,0.598,-0.595
HGF,0.583,-0.332
FAM108A4,-0.647,0.387
HSPA12A,-0.497,0.066
HSPA12B,-0.196,-0.184
MAP2,-0.007,-0.447
FAM90A12P,-0.601,-0.2
MAP4,-0.601,-0.6
NUTF2,0.723,-0.473
MAP6,0.288,-0.482
MAP9,-0.821,0.378
ASPDH,-0.056,0.557
UFC1,0.144,-0.913
MAPT,-0.398,-0.635
ARHGEF3,-0.527,0.133
ARHGEF2,-0.77,-0.141
ARHGEF7,-0.883,0.127
ARHGEF6,-0.419,-0.312
ARHGEF5,0.693,-0.013
GMEB1,-0.441,0.044
HN1,0.337,-0.849
RP11-466F5.8,0.038,0.35
CYBRD1,0.698,-0.1
GNG13,0.382,0.617
HK2,-0.194,-0.695
RPL35,0.371,-0.628
RPL36,0.825,-0.169
NLRX1,0.301,0.508
RPL37,0.198,-0.468
GNG12,0.42,-0.691
RPL38,-0.002,-0.129
RPL39,0.71,-0.071
RPL30,0.173,-0.104
MTCP1NB,-0.477,-0.215
RPL32,0.176,-0.595
RPL34,-0.438,-0.407
MAS1,-0.118,0.648
SLC4A8,-0.825,0.421
SLC4A7,-0.55,-0.438
SLC4A9,-0.478,0.631
RANBP3L,0.573,-0.56
EXPH5,-0.24,0.123
RPL26,-0.349,-0.551
RPL27,0.668,-0.31
RPL29,0.627,-0.434
GNG10,0.229,-0.633
CTNNAL1,-0.863,0.17
LOC728819,-0.495,-0.063
SH2D5,-0.028,-0.842
LONRF3,-0.045,0.562
LONRF2,-0.145,-0.504
MATK,-0.469,-0.248
OR2L8,-0.519,0.295
OR2L3,-0.618,0.452
OR2L2,-0.648,0.327
LYSMD4,-0.654,0.635
TLR10,0.292,-0.099
OR2M4,-0.707,0.21
PIP5K1B,-0.57,-0.064
WWC1,0.247,-0.467
PIP5K1C,-0.033,0.465
CCRL2,-0.133,0.091
